variant,seed,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
search_36,44,0.5016077170418006,0.5157853359814631,0.6794852603297062,0.24331493615199354,0.25877031683921814,0.7064164280891418
search_37,42,0.5980707395498392,0.6028632903012248,0.6881076452396043,0.2473235228671312,0.2188079059123993,0.7687990665435791
search_37,43,0.5916398713826366,0.6034425686858655,0.6884681005917189,0.2475822771041407,0.21547117829322815,0.764739990234375
search_37,44,0.47266881028938906,0.48849718636213174,0.6925783407130414,0.24955885122992008,0.20624515414237976,0.7937548160552979
search_39,42,0.5434083601286174,0.545059582919563,0.7060875585888606,0.2554928588593253,0.2230943739414215,0.7779278755187988
search_39,43,0.5241157556270096,0.5455974842767295,0.699657982460742,0.25214717423081406,0.1322534680366516,0.9356250166893005
search_39,44,0.5659163987138264,0.6098973849718636,0.6790334684523743,0.2422731547328111,0.12866109609603882,0.8937346935272217
search_40,42,0.594855305466238,0.6282894736842105,0.6823164036081218,0.24461476106237742,0.41845938563346863,0.581540584564209
search_40,43,0.5916398713826366,0.5999668983780204,0.6889144716709741,0.2478463047848511,0.3090384006500244,0.6049319505691528
search_40,44,0.5241157556270096,0.5272053955643826,0.6853653462988751,0.24613564374128477,0.42875078320503235,0.5712491869926453
search_41,42,0.5884244372990354,0.6011254551473022,0.6852158082732721,0.2453560184112571,0.13835594058036804,0.8973975777626038
search_41,43,0.5691318327974276,0.6031529294935452,0.679192007846418,0.2429681441964205,0.12454116344451904,0.907057523727417
search_41,44,0.5562700964630225,0.5722029129427342,0.6926459709334797,0.2492489362637793,0.14224061369895935,0.8736553192138672
search_42,42,0.5787781350482315,0.6220622310493213,0.6731454907899259,0.23967716535912412,0.13650107383728027,0.8820586204528809
search_42,43,0.5755627009646302,0.5897053955643826,0.68745103101222,0.24639548021583021,0.1274406611919403,0.8879028558731079
search_42,44,0.6012861736334405,0.6246689837802053,0.6726762855402592,0.23972386591432207,0.18607541918754578,0.850010335445404
search_43,42,0.5852090032154341,0.6162280701754386,0.6759311986040539,0.24112855705067132,0.13854137063026428,0.9082689881324768
search_43,43,0.5819935691318328,0.5439424031777557,0.7073136038634157,0.25600265119313226,0.11138206720352173,0.9001761078834534
search_43,44,0.5755627009646302,0.5818437603442569,0.6903963667099496,0.24810477139771434,0.17764979600906372,0.8764865398406982
search_44,42,0.5916398713826366,0.6271929824561404,0.6742350811259668,0.24013228457472827,0.09034895896911621,0.930165708065033
search_44,43,0.5755627009646302,0.56740317775571,0.7054368009931296,0.25414527826667366,0.06939113140106201,0.935515820980072
search_44,44,0.5852090032154341,0.5912363455809335,0.6908184075031089,0.24803464898689642,0.10275480151176453,0.8780630230903625
search_45,42,0.5659163987138264,0.6177590201919894,0.6742457452723559,0.24036461713065124,0.1548852026462555,0.8983468413352966
search_45,43,0.43086816720257237,0.4434376034425687,0.7145755725237491,0.25937802954981454,0.1378176510334015,0.9287835955619812
search_45,44,0.5852090032154341,0.6106007944389276,0.679750965783722,0.24283883896262892,0.15587377548217773,0.8880753517150879
search_46,42,0.5980707395498392,0.6314961933134724,0.6662200540587996,0.23696323482321238,0.14795595407485962,0.8798657655715942
search_46,43,0.4919614147909968,0.5032687851704734,0.7126964938551424,0.257606399709682,0.0655238926410675,0.9511353373527527
search_46,44,0.5852090032154341,0.5926017874875869,0.6886861313366676,0.24710222775263757,0.14274945855140686,0.8870030641555786
search_47,42,0.5884244372990354,0.6391923204237009,0.6670016372554486,0.23676810313440608,0.1436765491962433,0.8980889916419983
search_47,43,0.5498392282958199,0.5580105925190334,0.696055665104959,0.25087186387669186,0.14230701327323914,0.8836994767189026
search_47,44,0.5819935691318328,0.5867262495862297,0.692088753626654,0.24887904033615169,0.1647123098373413,0.8764429688453674
search_48,42,0.6012861736334405,0.6110973187686196,0.6745285236805539,0.24076497482435763,0.1467934250831604,0.8749764561653137
search_48,43,0.49517684887459806,0.510385633896061,0.7105028479814721,0.2573689197483338,0.13122594356536865,0.910566508769989
search_48,44,0.6045016077170418,0.6179245283018868,0.6769193641458594,0.2415126824610046,0.1259339451789856,0.8911810517311096
search_49,42,0.5787781350482315,0.6190417080436941,0.6771013862849615,0.2412580456260625,0.113970547914505,0.9236962199211121
search_49,43,0.4662379421221865,0.5261089043363125,0.6998520926885742,0.25278514360636434,0.12077143788337708,0.9012271761894226
search_49,44,0.5819935691318328,0.5948775239986759,0.6952017254066601,0.25043835194968006,0.14991804957389832,0.8675276637077332
strong_lead15_8,42,0.5080385852090032,0.5376944720291295,0.694981338171318,0.2503866892443633,0.14939311146736145,0.8383744955062866
strong_lead15_8,43,0.5562700964630225,0.5703409467063887,0.6893347707152979,0.24768754723159425,0.22435516119003296,0.8505197167396545
strong_lead15_8,44,0.5434083601286174,0.5616517709367759,0.6997817012198647,0.25159052843511337,0.11246201395988464,0.9183552861213684
