variant,period,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
search_30,all_311,311,185,0.594855305466238,0.6179245283018868,0.67948400625036,0.24300408636155565,0.1616640587647756,0.8825294375419617
search_30,development_232,232,142,0.6120689655172413,0.6581939799331104,0.667065833335477,0.237212324381413,0.28858184814453125,0.7756663759549459
search_30,recent_79,79,43,0.5443037974683544,0.5577922077922077,0.7159525646839402,0.26001280508805064,0.1616640587647756,0.8825294375419617
search_32,all_311,311,176,0.5659163987138264,0.5909053293611386,0.680617845755589,0.24365515457988457,0.213508407274882,0.8468066255251566
search_32,development_232,232,137,0.5905172413793104,0.6165737643998513,0.6746758013456343,0.24093622675853085,0.2740330398082733,0.7421019474665324
search_32,recent_79,79,39,0.4936708860759494,0.5727272727272728,0.6980679002253296,0.25163985400461947,0.213508407274882,0.8468066255251566
search_33,all_311,311,144,0.4630225080385852,0.4823940748096657,0.6940575712822494,0.25045555843127837,0.4367174406846364,0.5495480597019196
search_33,development_232,232,106,0.45689655172413796,0.47075436640654034,0.6944830640414617,0.25066842471354983,0.4367174406846364,0.5495480597019196
search_33,recent_79,79,38,0.4810126582278481,0.5191558441558441,0.6928080229260822,0.24983043213397477,0.4914029737313588,0.5085970362027487
search_34,all_311,311,183,0.5884244372990354,0.6086560741476332,0.6790236584828454,0.24295909030097085,0.16953514019648233,0.8613057335217794
search_34,development_232,232,140,0.603448275862069,0.643998513563731,0.669387069531554,0.23815096873861868,0.24664060274759927,0.7628958622614542
search_34,recent_79,79,43,0.5443037974683544,0.5616883116883117,0.7073235146435994,0.2570791434967393,0.16953514019648233,0.8613057335217794
search_36,all_311,311,179,0.5755627009646302,0.6186900033101622,0.6753721061992114,0.24127056462682575,0.2566111882527669,0.7087641358375549
search_36,development_232,232,138,0.5948275862068966,0.6519509476031218,0.6686097867365861,0.23815116311890214,0.2924043536186218,0.7075956463813782
search_36,recent_79,79,41,0.5189873417721519,0.5366883116883118,0.6952310696843895,0.2504313386754115,0.2566111882527669,0.7087641358375549
search_37,all_311,311,184,0.5916398713826366,0.6116145316120489,0.6894806740423175,0.24804694711119124,0.21531354387601218,0.7757646242777506
search_37,development_232,232,136,0.5862068965517241,0.6330732069862505,0.6873218586703345,0.24707194371835603,0.21531354387601218,0.7045534451802572
search_37,recent_79,79,48,0.6075949367088608,0.5824675324675325,0.6958204862739638,0.25091024821420105,0.22423536578814188,0.7757646242777506
search_39,all_311,311,163,0.5241157556270096,0.5626861966236345,0.689885923992903,0.24807588027578648,0.16433456540107727,0.8663493593533834
search_39,development_232,232,118,0.5086206896551724,0.5609810479375698,0.6827418921324654,0.24497833603697516,0.23977740605672201,0.8039578795433044
search_39,recent_79,79,45,0.569620253164557,0.5577922077922077,0.7108658656589983,0.25717246588849824,0.16433456540107727,0.8663493593533834
search_40,all_311,311,184,0.5916398713826366,0.6271102284011917,0.6845924738544295,0.24573302273340628,0.4300457239151001,0.5540226896603903
search_40,development_232,232,139,0.5991379310344828,0.6494983277591975,0.6827445560064669,0.24481372897472053,0.44597727060317993,0.5540226896603903
search_40,recent_79,79,45,0.569620253164557,0.5389610389610391,0.6900192705724969,0.24843272086017953,0.4300457239151001,0.54008682568868
search_41,all_311,311,179,0.5755627009646302,0.6083664349553128,0.6832456721783964,0.24464164447326728,0.14838072657585144,0.8733121355374655
search_41,development_232,232,138,0.5948275862068966,0.6508361204013378,0.6700471046260146,0.23862598690948633,0.3196091155211131,0.7337242364883423
search_41,recent_79,79,41,0.5189873417721519,0.5532467532467533,0.7220060224588092,0.26230787934411753,0.14838072657585144,0.8733121355374655
search_42,all_311,311,182,0.5852090032154341,0.6199933796756041,0.6759726331045269,0.2410359780385378,0.15325260162353516,0.873323937257131
search_42,development_232,232,139,0.5991379310344828,0.6538089929394277,0.6603079250075935,0.23397729703467812,0.2870481113592784,0.7430306871732076
search_42,recent_79,79,43,0.5443037974683544,0.5642857142857143,0.7219753201740027,0.261765269087847,0.15325260162353516,0.873323937257131
