_key,league,datacompleteness,reason
PRM|LOLTMNT04_92412,PRM,complete,eligible
LFL|LOLTMNT06_95937,LFL,complete,eligible
RL|LOLTMNT01_194998,RL,complete,eligible
HLL|LOLTMNT01_195079,HLL,complete,eligible
HW|LOLTMNT01_196019,HW,complete,eligible
LVP SL|LOLTMNT01_195094,LVP SL,complete,eligible
TCL|LOLTMNT04_93409,TCL,complete,eligible
NLC|LOLTMNT04_92422,NLC,complete,eligible
LFL|LOLTMNT06_96972,LFL,complete,eligible
PRM|LOLTMNT04_92426,PRM,complete,eligible
RL|LOLTMNT01_196077,RL,complete,eligible
LVP SL|LOLTMNT01_196083,LVP SL,complete,eligible
HW|LOLTMNT01_195149,HW,complete,eligible
PRM|LOLTMNT04_93416,PRM,complete,eligible
LFL|LOLTMNT06_95948,LFL,complete,eligible
NLC|LOLTMNT04_93414,NLC,complete,eligible
RL|LOLTMNT01_195182,RL,complete,eligible
LVP SL|LOLTMNT01_195188,LVP SL,complete,eligible
HW|LOLTMNT01_195191,HW,complete,eligible
PRM|LOLTMNT04_92436,PRM,complete,eligible
NLC|LOLTMNT04_93418,NLC,complete,eligible
LFL|LOLTMNT06_95950,LFL,complete,eligible
LVP SL|LOLTMNT01_196131,LVP SL,complete,eligible
RL|LOLTMNT01_195208,RL,complete,eligible
PRM|LOLTMNT04_92437,PRM,complete,eligible
NLC|LOLTMNT04_92438,NLC,complete,eligible
PRM|LOLTMNT04_92439,PRM,complete,eligible
LJL|LOLTMNT01_195330,LJL,complete,eligible
LJL|LOLTMNT01_195345,LJL,complete,missing_player_id
LJL|LOLTMNT01_195389,LJL,complete,missing_player_id
LJL|LOLTMNT01_195424,LJL,complete,missing_player_id
HLL|LOLTMNT01_196369,HLL,complete,eligible
TCL|LOLTMNT04_93460,TCL,complete,eligible
HLL|LOLTMNT01_196409,HLL,complete,eligible
TCL|LOLTMNT04_92470,TCL,complete,eligible
HLL|LOLTMNT01_195482,HLL,complete,eligible
HW|LOLTMNT01_196434,HW,complete,eligible
TCL|LOLTMNT04_92483,TCL,complete,eligible
HLL|LOLTMNT01_196450,HLL,complete,eligible
LVP SL|LOLTMNT01_195516,LVP SL,complete,eligible
LFL|LOLTMNT06_95958,LFL,complete,eligible
HW|LOLTMNT01_195517,HW,complete,eligible
TCL|LOLTMNT04_92504,TCL,complete,eligible
NLC|LOLTMNT04_92505,NLC,complete,eligible
LVP SL|LOLTMNT01_196477,LVP SL,complete,eligible
HW|LOLTMNT01_196499,HW,complete,eligible
LFL|LOLTMNT06_96989,LFL,complete,eligible
NLC|LOLTMNT04_92510,NLC,complete,eligible
LVP SL|LOLTMNT01_196517,LVP SL,complete,eligible
HW|LOLTMNT01_196538,HW,complete,eligible
LFL|LOLTMNT06_96993,LFL,complete,eligible
LVP SL|LOLTMNT01_195606,LVP SL,complete,eligible
NLC|LOLTMNT04_92514,NLC,complete,eligible
LVP SL|LOLTMNT01_195629,LVP SL,complete,eligible
LFL|LOLTMNT06_95964,LFL,complete,eligible
HW|LOLTMNT01_196570,HW,complete,eligible
NLC|LOLTMNT04_92516,NLC,complete,eligible
HW|LOLTMNT01_195652,HW,complete,eligible
LCK|LOLTMNT01_196721,LCK,complete,eligible
LCK|LOLTMNT01_195821,LCK,complete,eligible
LJL|LOLTMNT01_196736,LJL,complete,missing_player_id
LCK|LOLTMNT01_196743,LCK,complete,eligible
LJL|LOLTMNT01_196798,LJL,complete,eligible
LCK|LOLTMNT01_195885,LCK,complete,eligible
LCK|LOLTMNT01_195897,LCK,complete,eligible
LJL|LOLTMNT01_196821,LJL,complete,missing_player_id
HLL|LOLTMNT01_195973,HLL,complete,eligible
TCL|LOLTMNT04_93567,TCL,complete,eligible
HLL|LOLTMNT01_196904,HLL,complete,eligible
TCL|LOLTMNT04_93578,TCL,complete,eligible
